,name,Code,lat,lon,ligne,ville
62,Flandrin - Valmy,SEM:GENVALMY,45.18719,5.7448,C,Grenoble
63,Grenoble Hôtel de Ville,SEM:GENGREHOTEL,45.18746,5.73779,C,Grenoble
64,Chavant,SEM:GENCHAVANT,45.18466,5.73177,C,Grenoble
65,Gustave Rivet,SEM:GENGUSTRIVE,45.1817,5.72783,C,Grenoble
66,Foch - Ferrié,SEM:GENFOCHFERI,45.1808,5.72256,C,Grenoble
67,Vallier - Libération,SEM:GENVALLIBE,45.18013,5.71608,C,Grenoble
68,Vallier - Docteur Calmette,SEM:GENDRCALME,45.18013,5.71077,C,Grenoble
69,Vallier - Catane,SEM:GENVALLCATA,45.18002,5.70558,C,Grenoble
70,Seyssinet-Pariset Hôtel de Ville,SEM:GENSEYHDV,45.18032,5.69707,C,Seyssinet-Pariset
71,Fauconnière,SEM:GENFAUCONNI,45.17651,5.69427,C,Seyssinet-Pariset
72,Grand Pré,SEM:GENGRANDPRE,45.17178,5.69424,C,Seyssinet-Pariset
73,Mas des Iles,SEM:GENMASDESIL,45.16727,5.69424,C,Seyssins
74,Le Prisme,SEM:GENPRISME,45.16639,5.69055,C,Seyssins
75,Les Taillées - Universités,SEM:GENTAILLEES,45.19215,5.75784,D,Saint-Martin-d'Hères
76,Plaine des Sports,SEM:GENPLAINEDS,45.18805,5.78421,D,Gières
77,Gières Gare - Universités,SEM:GENGIERGARE,45.18528,5.78458,D,Gières
78,Mayencin - Champ Roman,SEM:GENMAYENCIN,45.18491,5.77895,D,Gières
79,Condillac - Universités,SEM:GENCONDIUNI,45.18915,5.77445,D,Saint-Martin-d'Hères
80,Bibliothèques Universitaires,SEM:GENBIBLIUNI,45.19246,5.7709,D,Gières
81,Gabriel Fauré - MUSE,SEM:GENGABFAURE,45.19228,5.7643,D,Saint-Martin-d'Hères
82,Hector Berlioz - Universités,SEM:GENHBERLUNI,45.19137,5.75866,D,Saint-Martin-d'Hères
83,Neyrpic - Belledonne,SEM:GENNEYRBELL,45.18669,5.75716,D,Saint-Martin-d'Hères
84,Maison Communale,SEM:GENMAISONCO,45.18412,5.75414,D,Saint-Martin-d'Hères
85,Edouard Vaillant,SEM:GENEDVAILLA,45.17902,5.75528,D,Saint-Martin-d'Hères
86,Parc Jo Blanchon,SEM:GENBLANCHON,45.17585,5.75684,D,Saint-Martin-d'Hères
87,Etienne Grappe,SEM:GENETIEGRAP,45.17213,5.75769,D,Saint-Martin-d'Hères
88,Louise Michel,SEM:GENLMICHEL,45.16976,5.71287,E,Grenoble
89,Alliés,SEM:GENALLIES,45.17398,5.71427,E,Grenoble
90,Vallier - Libération,SEM:GENVALLIBE,45.18013,5.71608,E,Grenoble
91,Plaine des Sports,SEM:GENPLAINEDS,45.18805,5.78421,E,Gières
92,Gières Gare - Universités,SEM:GENGIERGARE,45.18528,5.78458,E,Gières
93,Mayencin - Champ Roman,SEM:GENMAYENCIN,45.18491,5.77895,E,Gières
94,Condillac - Universités,SEM:GENCONDIUNI,45.18915,5.77445,E,Saint-Martin-d'Hères
95,Bibliothèques Universitaires,SEM:GENBIBLIUNI,45.19246,5.7709,E,Gières
96,Gabriel Fauré - MUSE,SEM:GENGABFAURE,45.19228,5.7643,E,Saint-Martin-d'Hères
97,Hector Berlioz - Universités,SEM:GENHBERLUNI,45.19137,5.75866,E,Saint-Martin-d'Hères
98,Neyrpic - Belledonne,SEM:GENNEYRBELL,45.18669,5.75716,E,Saint-Martin-d'Hères
99,Péri - Brossolette,SEM:GENPERIBROS,45.18771,5.75142,E,Saint-Martin-d'Hères
100,Flandrin - Valmy,SEM:GENVALMY,45.18719,5.7448,E,Grenoble
101,Grenoble Hôtel de Ville,SEM:GENGREHOTEL,45.18746,5.73779,E,Grenoble
102,Chavant,SEM:GENCHAVANT,45.18466,5.73177,E,Grenoble
103,Gustave Rivet,SEM:GENGUSTRIVE,45.1817,5.72783,E,Grenoble
104,Foch - Ferrié,SEM:GENFOCHFERI,45.1808,5.72256,E,Grenoble
105,Condorcet,SEM:GENCONDORCE,45.18553,5.71823,E,Grenoble
106,Alsace-Lorraine,SEM:GENALSACELO,45.18911,5.7193,E,Grenoble
107,Annie Fratellini-Esplanade,SEM:GENESPLANAD,45.19566,5.71679,E,Grenoble
108,Casamaures - Village,SEM:GENCASAVILL,45.19902,5.71747,E,Grenoble
109,Saint-Martin-le-Vinoux Hôtel de Ville,SEM:GENMAIRIESM,45.20826,5.70685,E,Saint-Martin-le-Vinoux
110,Horloge,SEM:GENHORLOGE,45.21363,5.69885,E,Saint-Martin-le-Vinoux
111,Néron,SEM:GENNERON,45.21782,5.69334,E,Saint-Martin-le-Vinoux
112,Fiancey - Prédieu,SEM:GENPREDIEU,45.22359,5.68827,E,Saint-Égrève
113,Muret,SEM:GENMURET,45.22618,5.68616,E,Saint-Égrève
114,Pont de Vence,SEM:GENPTVENCE,45.23009,5.6823,E,Saint-Égrève
115,La Pinéa - St Robert,SEM:GENPINEA,45.23565,5.67549,E,Saint-Égrève
116,Karben,SEM:GENKARBEN,45.24235,5.67093,E,Saint-Égrève
117,Rafour,SEM:GENRAFOUR,45.24868,5.66688,E,Fontanil-Cornillon
118,Palluel,SEM:GENFONTANIL,45.25507,5.66148,E,Fontanil-Cornillon
119,Maupertuis,SEM:GENMAUPERTU,45.21285,5.79719,C1,Meylan
120,Pré de l'Eau,SEM:GENPREDEAU,45.22384,5.81961,C1,Montbonnot-Saint-Martin
121,Pré Millet,SEM:GENPREMILL,45.22181,5.81305,C1,Montbonnot-Saint-Martin
122,INRIA,SEM:GENINRIA,45.21747,5.80738,C1,Montbonnot-Saint-Martin
123,Baudonniere,SEM:GENBEAUDONI,45.2145,5.80779,C1,Montbonnot-Saint-Martin
124,Busserolles,SEM:GENBUSSEROL,45.20884,5.79756,C1,Meylan
125,Norbert Ségard,SEM:GENNORBSEGA,45.20915,5.79489,C1,Meylan
126,Les Béalières,SEM:GENBEALIERE,45.21153,5.7907,C1,Meylan
127,Malacher,SEM:GENMALACHER,45.21122,5.78722,C1,Meylan
128,Granier,SEM:GENGRANIER,45.21027,5.78453,C1,Meylan
129,Meylan Mairie,SEM:GENMEYLMAIR,45.20928,5.7785,C1,Meylan
130,Piscine des Buclos,SEM:GENPISBUCLO,45.20888,5.77538,C1,Meylan
131,Le Brêt,SEM:GENLEBRET,45.2059,5.77174,C1,Meylan
132,La Revirée,SEM:GENREVIREE,45.20733,5.76796,C1,Meylan
133,Aiguinards-Hexagone,SEM:GENAIGUIHEX,45.20556,5.76449,C1,Meylan
134,Plaine Fleurie,SEM:GENPLAINEFL,45.20276,5.76139,C1,Meylan
135,Carronnerie - Ile d'Amour,SEM:GENCARONRIE,45.20116,5.7588,C1,La Tronche
136,Sablons,SEM:GENSABLONS,45.19647,5.75206,C1,La Tronche
137,Grenoble Hôtel de Ville,SEM:GENGREHOTEL,45.18746,5.73779,C1,Grenoble
138,Chavant,SEM:GENCHAVANT,45.18466,5.73177,C1,Grenoble
139,Docteur Martin,SEM:GENDRMARTIN,45.18731,5.72728,C1,Grenoble
140,Victor Hugo,SEM:GENVICTHUGO,45.18938,5.72499,C1,Grenoble
141,Docteur Mazet,SEM:GENDRMAZET,45.19128,5.72201,C1,Grenoble
142,Félix Viallet,SEM:GENFELIXVIA,45.19073,5.71847,C1,Grenoble
143,Gares,SEM:GENGARES,45.19078,5.71554,C1,Grenoble
144,Arago,SEM:GENARAGO,45.19709,5.71174,C1,Grenoble
145,Cité Jean Macé,SEM:GENCITEMACE,45.19996,5.7105,C1,Grenoble
146,Pont Rouge,SEM:GENPTROUGE,45.11832,5.69254,C2,Claix
147,Pont-de-Claix Mairie,SEM:GENPTCLXMAI,45.12288,5.6977,C2,Le Pont-de-Claix
148,Marcelline,SEM:GENMARCELLI,45.12553,5.69795,C2,Le Pont-de-Claix
149,Irène Joliot-Curie,SEM:GENIRENEJOL,45.12742,5.69856,C2,Le Pont-de-Claix
150,L'Amphi,SEM:GENLAMPHI,45.13035,5.69975,C2,Le Pont-de-Claix
151,Iles de Mars,SEM:GENILESMARS,45.13197,5.70026,C2,Le Pont-de-Claix
152,Clos Dominique,SEM:GENCLOSDOMI,45.13546,5.70127,C2,Le Pont-de-Claix
153,L'Etoile,SEM:GENLETOILE,45.13788,5.7033,C2,Le Pont-de-Claix
154,Ecureuil,SEM:GENECUREUIL,45.14261,5.70384,C2,Échirolles
155,Bayard,SEM:GENBAYARD,45.14591,5.70478,C2,Échirolles
156,Quinzaine,SEM:GENQUINZAIN,45.15149,5.70664,C2,Échirolles
157,Navis,SEM:GENNAVIS,45.15627,5.70842,C2,Échirolles
158,Marielle Franco - Rondeau,SEM:GENRONDEAU,45.16072,5.70965,C2,Grenoble
159,Stade Lesdiguières,SEM:GENSTADLESD,45.16429,5.71097,C2,Grenoble
160,Louise Michel,SEM:GENLMICHEL,45.16976,5.71287,C2,Grenoble
161,Victor Hugo,SEM:GENVICTHUGO,45.18938,5.72499,C3,Grenoble
162,Gambetta,SEM:GENGAMBETTA,45.18845,5.72317,C3,Grenoble
163,Championnet,SEM:GENCHAMPION,45.18554,5.72318,C3,Grenoble
